corp_code,corp_name,stock_code,report_nm,rcept_no,rcept_dt,time,호재성
1383229,저스템,417840,사업보고서 (2022.12),2.02303E+13,20230323,17:49,FALSE
657783,모델솔루션,417970,사업보고서 (2022.12),2.02303E+13,20230317,11:02,FALSE
1613281,하나금융22호스팩,418170,사업보고서 (2022.12),2.02303E+13,20230302,15:13,TRUE
1587056,엔젯,419080,사업보고서 (2022.12),2.02303E+13,20230317,16:36,FALSE
1516368,산돌,419120,사업보고서 (2022.12),2.02303E+13,20230323,15:04,FALSE
1082418,SAMG엔터,419530,[기재정정]사업보고서 (2022.12),2.02307E+13,20230718,16:49,TRUE
1082418,SAMG엔터,419530,사업보고서 (2022.12),2.02303E+13,20230317,16:41,TRUE
1506848,비스토스,419540,사업보고서 (2022.12),2.02303E+13,20230321,18:03,FALSE
1035368,티에프이,425420,[기재정정]사업보고서 (2022.12),2.02307E+13,20230719,17:09,TRUE
1035368,티에프이,425420,사업보고서 (2022.12),2.02303E+13,20230323,16:09,TRUE
1658266,하나금융24호스팩,430230,사업보고서 (2022.12),2.02303E+13,20230302,15:42,FALSE
1669475,하나금융25호스팩,435620,사업보고서 (2022.12),2.02303E+13,20230302,17:00,TRUE
1686755,파인엠텍,441270,[기재정정]사업보고서 (2022.12),2.02307E+13,20230718,15:40,TRUE
1686755,파인엠텍,441270,[기재정정]사업보고서 (2022.12),2.02303E+13,20230327,16:12,TRUE
1686755,파인엠텍,441270,사업보고서 (2022.12),2.02303E+13,20230317,18:01,TRUE
938688,SBI핀테크솔루션즈,950110,사업보고서 (2023.03),2.02306E+13,20230629,10:21,TRUE
1041828,JTC,950170,사업보고서 (2023.02),2.02305E+13,20230526,16:27,FALSE
956028,엑세스바이오,950130,사업보고서 (2022.12),2.02303E+13,20230320,14:55,TRUE
1165739,잉글우드랩,950140,사업보고서 (2022.12),2.02303E+13,20230315,17:42,TRUE
1245062,코오롱티슈진,950160,사업보고서 (2022.12),2.02303E+13,20230320,16:28,TRUE
1511558,네오이뮨텍,950220,사업보고서 (2022.12),2.02303E+13,20230323,15:53,FALSE
1442115,소마젠,950200,사업보고서 (2022.12),2.02303E+13,20230323,17:33,TRUE
1107665,크리스탈신소재,900250,사업보고서 (2022.12),2.02304E+13,20230418,09:35,TRUE
783246,글로벌에스엠,900070,사업보고서 (2022.12),2.02303E+13,20230331,10:17,TRUE
781202,애머릿지,900100,사업보고서 (2022.12),2.02304E+13,20230420,,TRUE
129615,상보,27580,사업보고서 (2022.12),2.02303E+13,20230321,13:31,TRUE
192499,팜스토리,27710,[기재정정]사업보고서 (2022.12),2.02307E+13,20230731,16:14,TRUE
192499,팜스토리,27710,[기재정정]사업보고서 (2022.12),2.02303E+13,20230331,16:47,TRUE
192499,팜스토리,27710,사업보고서 (2022.12),2.02303E+13,20230323,16:26,TRUE
219440,휴맥스홀딩스,28080,사업보고서 (2022.12),2.02303E+13,20230322,19:17,FALSE
199252,HLB,28300,사업보고서 (2022.12),2.02303E+13,20230322,18:09,FALSE
186452,광무,29480,사업보고서 (2022.12),2.02303E+13,20230321,17:45,FALSE
204262,한글과컴퓨터,30520,사업보고서 (2022.12),2.02303E+13,20230322,14:59,FALSE
216647,원익홀딩스,30530,사업보고서 (2022.12),2.02303E+13,20230322,18:09,TRUE
200910,아이즈비전,31310,[기재정정]사업보고서 (2022.12),2.02303E+13,20230331,16:18,FALSE
200910,아이즈비전,31310,사업보고서 (2022.12),2.02303E+13,20230321,17:44,FALSE
128661,에스에이엠티,31330,사업보고서 (2022.12),2.02303E+13,20230316,15:11,TRUE
175173,오스템,31510,사업보고서 (2022.12),2.02303E+13,20230321,16:22,TRUE
201131,아즈텍WB,32080,사업보고서 (2022.12),2.02303E+13,20230317,17:29,TRUE
238782,다우데이타,32190,사업보고서 (2022.12),2.02303E+13,20230322,17:43,TRUE
187770,한국파마,32300,사업보고서 (2022.12),2.02303E+13,20230323,16:07,TRUE
226352,케이엠더블유,32500,사업보고서 (2022.12),2.02303E+13,20230323,18:07,TRUE
201733,TJ미디어,32540,사업보고서 (2022.12),2.02303E+13,20230314,16:48,FALSE
220057,유비케어,32620,사업보고서 (2022.12),2.02303E+13,20230320,17:29,FALSE
204226,소프트센,32680,사업보고서 (2022.12),2.02303E+13,20230323,16:46,TRUE
231044,우리기술,32820,사업보고서 (2022.12),2.02303E+13,20230321,17:08,TRUE
231707,비트컴퓨터,32850,사업보고서 (2022.12),2.02303E+13,20230320,10:46,FALSE
210980,원익,32940,사업보고서 (2022.12),2.02303E+13,20230323,14:52,TRUE
232089,바이온,32980,[기재정정]사업보고서 (2022.12),2.02304E+13,20230403,15:56,TRUE
232089,바이온,32980,사업보고서 (2022.12),2.02303E+13,20230323,14:07,TRUE
222435,제이엠아이,33050,사업보고서 (2022.12),2.02303E+13,20230320,13:15,FALSE
185356,제룡전기,33100,[기재정정]사업보고서 (2022.12),2.02303E+13,20230331,08:51,TRUE
185356,제룡전기,33100,사업보고서 (2022.12),2.02303E+13,20230320,11:40,TRUE
231442,디지틀조선,33130,사업보고서 (2022.12),2.02303E+13,20230315,16:35,FALSE
121686,엠케이전자,33160,사업보고서 (2022.12),2.02303E+13,20230323,16:19,FALSE
158219,시그네틱스,33170,사업보고서 (2022.12),2.02303E+13,20230317,16:14,TRUE
241209,모아텍,33200,사업보고서 (2023.03),2.02306E+13,20230620,17:20,FALSE
229021,인성정보,33230,사업보고서 (2022.12),2.02303E+13,20230321,17:55,FALSE
143226,엠투엔,33310,사업보고서 (2022.12),2.02303E+13,20230323,14:04,TRUE
223513,제이씨현시스템,33320,사업보고서 (2022.12),2.02303E+13,20230315,15:37,TRUE
205003,좋은사람들,33340,사업보고서 (2022.12),2.02303E+13,20230324,07:30,TRUE
231105,동성화인텍,33500,사업보고서 (2022.12),2.02303E+13,20230331,16:26,TRUE
227333,네패스,33640,사업보고서 (2022.12),2.02303E+13,20230323,11:33,TRUE
276083,스카이문스테크놀로지,33790,사업보고서 (2022.12),2.02303E+13,20230321,17:50,TRUE
171265,파라다이스,34230,사업보고서 (2022.12),2.02303E+13,20230316,16:45,FALSE
231831,조아제약,34940,사업보고서 (2022.12),2.02303E+13,20230317,17:27,FALSE
156956,한국기업평가,34950,사업보고서 (2022.12),2.02303E+13,20230320,15:38,TRUE
244561,그래디언트,35080,사업보고서 (2022.12),2.02303E+13,20230323,15:58,TRUE
356389,프럼파스트,35200,사업보고서 (2022.12),2.02303E+13,20230315,15:34,TRUE
249502,골드앤에스,35290,사업보고서 (2022.12),2.02303E+13,20230323,14:21,FALSE
258421,기산텔레콤,35460,사업보고서 (2022.12),2.02303E+13,20230321,13:50,TRUE
264547,KG이니시스,35600,사업보고서 (2022.12),2.02303E+13,20230315,17:27,TRUE
249982,솔본,35610,[기재정정]사업보고서 (2022.12),2.02307E+13,20230721,09:25,TRUE
249982,솔본,35610,사업보고서 (2022.12),2.02303E+13,20230323,17:42,TRUE
259590,바른손이앤에이,35620,사업보고서 (2022.12),2.02303E+13,20230322,17:19,FALSE
242378,이지홀딩스,35810,[기재정정]사업보고서 (2022.12),2.02303E+13,20230330,17:16,TRUE
242378,이지홀딩스,35810,사업보고서 (2022.12),2.02303E+13,20230323,17:34,TRUE
219848,서희건설,35890,사업보고서 (2022.12),2.02303E+13,20230321,17:04,TRUE
258689,JYP Ent.,35900,사업보고서 (2022.12),2.02303E+13,20230320,16:34,TRUE
138598,아비코전자,36010,사업보고서 (2022.12),2.02303E+13,20230320,16:23,FALSE
260958,케이티알파,36030,[기재정정]사업보고서 (2019.12),2.02305E+13,20230523,17:07,FALSE
260958,케이티알파,36030,[기재정정]사업보고서 (2018.12),2.02305E+13,20230523,17:07,TRUE
260958,케이티알파,36030,사업보고서 (2022.12),2.02303E+13,20230323,15:20,FALSE
258360,위지트,36090,[기재정정]사업보고서 (2019.12),2.02307E+13,20230728,17:14,FALSE
